,symbol,address,city,state,zip_code,country,website,industry,sector,business_summary,date_pulled
0,AAAU,,,,,,,,,"The investment seeks to provide investors with an opportunity to invest in gold through shares, and have the gold securely stored by the Custodial Sponsor; reflecting the performance of the price of gold less the expenses of the trustâs operations is the secondary consideration.
 The trust holds London Bars and Physical Gold of other specifications without numismatic value. It receives gold deposited by Authorized Participants in exchange for the creation of Baskets and delivers gold to Authorized Participants in exchange for Baskets surrendered to it for redemption....",2020-12-26
1,ABCL,2215 Yukon Street,Vancouver,BC,V5Y 0A1,Canada,http://www.abcellera.com,Biotechnology,Healthcare,"AbCellera Biologics Inc. develops antibody discovery platform. Its full-stack, AI-powered drug discovery platform searches and analyzes the database of natural immune systems to find antibodies that can be developed as drugs. The company also develops next-generation transgenic mice that provide a source of fully-human antibodies for the discovery of therapeutic antibody candidates. It has a discovery partnership agreement with Eli Lilly and Company for the discovery of various targets. AbCellera Biologics Inc. was founded in 2012 and is headquartered in Vancouver, Canada....",2020-12-26
2,ABCM,Discovery Drive,Cambridge,,CB2 0AX,United Kingdom,http://www.abcam.com,Biotechnology,Healthcare,"Abcam plc, a life sciences company, researches, develops, and distributes biological reagents and tools for research, drug discovery, and diagnostics in the United States, China, Japan, Europe, the Middle East, Africa, and rest of Asia Pacific. The company offers various research products, including primary and secondary antibodies; ELISA and matched antibody pairs; cell and tissue imaging tools; cellular and biochemical assays; proteins and peptides; proteomics tools; agonists, antagonists, activators, and inhibitors; lysates; and multiplex assays. Its research products are used in the areas of cancer, cardiovascular, cell biology, developmental biology, epigenetics, nuclear signaling, immunology, metabolism, microbiology, neuroscience, signal transduction, and stem cells. Further, the company offers diagnostic and therapeutic solutions. The company also sells its products online. Abcam plc was founded in 1998 and is headquartered in Cambridge, the United Kingdom....",2020-12-26
3,ABNB,888 Brannan Street,San Francisco,CA,94103,United States,http://www.airbnb.com,Internet Content & Information,Communication Services,"Airbnb, Inc. operates a platform for stays and experiences to guests worldwide. The company's marketplace model connects hosts and guests online or through mobile devices to book spaces and experiences. It primarily offers private rooms and luxury villas. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California....",2020-12-26
4,ACACU,,,,,Cayman Islands,,Shell Companies,Financial Services,Acies Acquisition Corp. is a blank check company. The company was incorporated in 2020 and is based in Cayman Islands.,2020-12-26
5,ACAMU,1450 Brickell Avenue,Miami,FL,33131,United States,http://www.acamarpartners.com,Shell Companies,Financial Services,"Acamar Partners Acquisition Corp. does not have significant operations. It intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses in the consumer and retail industries. The company was founded in 2018 and is based in Miami, Florida....",2020-12-26
6,ACCD,660 West Germantown Pike,Plymouth Meeting,PA,19462,United States,http://accolade.com,Health Information Services,Healthcare,"Accolade, Inc. develops and provides technology-enabled solutions that help people understand, navigate, and utilize the healthcare system and their workplace benefits in the United States. The company offers a platform with cloud-based technology and with multimodal support from a team of health assistants and clinicians, including nurses, physician medical directors, and behavioral health specialists. Its customers are primarily employers who provide their employees and their employees' families a single place to turn for their health, healthcare, and benefits needs. Accolade, Inc. was founded in 2007 and is headquartered in Plymouth Meeting, Pennsylvania....",2020-12-26
7,ACEVU,1013 Centre Road,Wilmington,DE,19805,United States,,Shell Companies,Financial Services,"ACE Convergence Acquisition Corp. focuses on effecting a merger, amalgamation, share exchange, asset acquisition, share purchase, reorganization, or other similar business combination with one or more businesses. The company was founded in 2020 and is based in Wilmington, Delaware....",2020-12-26
8,ACI,250 Parkcenter Boulevard,Boise,ID,83706,United States,http://www.albertsonscompanies.com,Grocery Stores,Consumer Defensive,"Albertsons Companies, Inc., through its subsidiaries, operates as a food and drug retailer in the United States. Its food and drug retail stores offer grocery products, general merchandise, health and beauty care products, pharmacy, fuel, and other items and services. As of February 29, 2020, the company operated 2,252 stores under various banners, including Albertsons, Safeway, Vons, Jewel-Osco, Shaw's, Acme, Tom Thumb, Randalls, United Supermarkets, Market Street, Pavilions, Star Market, Carrs, and Haggen; and 1,726 pharmacies, 1,290 in-store branded coffee shops, and 402 adjacent fuel centers. The company was founded in 1939 and is headquartered in Boise, Idaho. Albertsons Companies, Inc. operates as a subsidiary of Albertsons Investor Holdings LLC....",2020-12-26
9,ACKIU,2093 Philadelphia Pike,Claymont,DE,19703,United States,,Shell Companies,Financial Services,"Ackrell SPAC Partners I Co., a blank check company, focuses on effecting a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization, and other similar business combination. Ackrell SPAC Partners I Co. was formerly known as Able Acquisition Corp. and changed its name to Ackrell SPAC Partners I Co. in September 2019. The company was incorporated in 2018 and is based in Claymont, Delaware....",2020-12-26
