,symbol,address,city,state,zip_code,country,website,industry,sector,business_summary,date_pulled
0,AGS,5475 South Decatur Boulevard,Las Vegas,NV,89118,United States,http://www.playags.com,Gambling,Consumer Cyclical,"PlayAGS, Inc. designs and supplies gaming products and services for the gaming industry in the United States and internationally. It operates through three segments: Electronic Gaming Machines (EGM), Table Products, and Interactive Games (Interactive)....",2020-12-20
1,CUE,21 Erie Street,Cambridge,MA,02139,United States,http://www.cuebiopharma.com,Biotechnology,Healthcare,"Cue Biopharma, Inc., a biopharmaceutical company, develops biologic drugs for the selective modulation of the human immune system to treat a range of cancers, chronic infectious diseases, and autoimmune disorders. Its lead drug candidate CUE-101, a pro...",2020-12-20
2,LBRT,950 17th Street,Denver,CO,80202,United States,http://www.libertyfrac.com,Oil & Gas Equipment & Services,Energy,"Liberty Oilfield Services Inc. provides hydraulic fracturing services to onshore oil and natural gas exploration and production companies in North America. The company offers its services primarily in the Permian Basin, the Eagle Ford Shale, the Denver...",2020-12-20
3,ILPT,Two Newton Place,Newton,MA,02458,United States,http://www.ilptreit.com,REIT—Industrial,Real Estate,"ILPT is a real estate investment trust, or REIT, that owns and leases industrial and logistics properties throughout the United States. ILPT is managed by the operating subsidiary of The RMR Group Inc. (Nasdaq: RMR), an alternative asset management com...",2020-12-20
4,COLD,South Tower,Atlanta,GA,30328,United States,http://www.americold.com,REIT—Industrial,Real Estate,"Americold is the world's largest publicly traded REIT focused on the ownership, operation, acquisition and development of temperature-controlled warehouses. Based in Atlanta, Georgia, Americold owns and operates 185 temperature-controlled warehouses, w...",2020-12-20
5,ADT,1501 Yamato Road,Boca Raton,FL,33431,United States,http://www.adt.com,Security & Protection Services,Industrials,"ADT Inc. provides security and automation solutions for homes and businesses in the United States and Canada. It provides a range of fire detection, fire suppression, video surveillance, and access control systems to residential, commercial, and multi-...",2020-12-20
6,NINE,2001 Kirby Drive,Houston,TX,77019,United States,http://nineenergyservice.com,Oil & Gas Equipment & Services,Energy,"Nine Energy Service, Inc. operates as an onshore completion services provider that targets unconventional oil and gas resource development across North American basins and internationally. It offers cementing services, which consist of blending high-gr...",2020-12-20
7,PAGS,"Avenida Brigadeiro Faria Lima, 1384",SÃ£o Paulo,SP,01451-001,Brazil,http://www.pagseguro.uol.com.br,Software—Infrastructure,Technology,"PagSeguro Digital Ltd., together with its subsidiaries, provides financial technology solutions and services for consumers, individual entrepreneurs, micro-merchants, and small and medium-sized companies in Brazil and internationally. The company's pro...",2020-12-20
8,GTES,1144 Fifteenth Street,Denver,CO,80202,United States,http://www.gates.com,Specialty Industrial Machinery,Industrials,"Gates Industrial Corporation plc manufactures and sells engineered power transmission and fluid power solutions worldwide. The company offers synchronous or asynchronous belts, including V-belts, CVT belts, and Micro-V belts, as well as related compone...",2020-12-20
9,EYEN,295 Madison Avenue,New York,NY,10017,United States,http://www.eyenoviabio.com,Biotechnology,Healthcare,"Eyenovia, Inc., a clinical stage ophthalmic biopharmaceutical company, engages in developing a pipeline of microdose therapeutics utilizing its patented piezo-print delivery technology, branded the Optejet. It focuses on achieving clinical microdosing ...",2020-12-20
