,company,symbol,industry,offer_date,shares (millions),offer price,1st day close,current price,return,scoop rating,date_type,source,lead managers,price low,price high,est. $ volume,expected to trade,rating change,offer date,expected trade weekday,market_cap_offered
0,HF Enterprises,HFEN,Financials,2020-11-24,2.2,$7.00,$6.98,$5.55,-20.71%,S/O,Confirmed,IPO Scoop,,,,,,,,,
1,Rackspace Technology,RXT,Consumer Services,2020-08-05,33.5,$21.00,$15.39,$17.70,-15.71%,S/O,Confirmed,IPO Scoop,,,,,,,,,
2,Health Sciences Acquisitions Corp 2,HSAQ,Blank Check,2020-08-04,13.9,$10.00,$11.40,$11.50,15.00%,S/O,Confirmed,IPO Scoop,,,,,,,,,
3,1847 Goedeker,GOED,Consumer Goods,2020-07-31,1.1,$9.00,$8.90,$6.05,-32.78%,S/O,Confirmed,IPO Scoop,,,,,,,,,
4,Fathom Holdings,FTHM,Financials,2020-07-31,3.4,$10.00,$10.03,$22.37,123.70%,S/O,Confirmed,IPO Scoop,,,,,,,,,
5,Vasta Platform Limited,VSTA,Consumer Services,2020-07-31,18.6,$19.00,$18.85,$14.10,-25.79%,S/O,Confirmed,IPO Scoop,,,,,,,,,
6,"Vital Farms, Inc.",VITL,Consumer Goods,2020-07-31,9.3,$22.00,$35.26,$29.43,33.77%,S/O,Confirmed,IPO Scoop,,,,,,,,,
7,BigCommerce Holdings,BIGC,Technology,2020-08-05,9.0,$24.00,$72.27,$80.12,233.83%,S/O,Confirmed,IPO Scoop,,,,,,,,,
8,AlloVir,ALVR,Health Care,2020-07-30,16.3,$17.00,$25.39,$34.97,105.71%,S/O,Confirmed,IPO Scoop,,,,,,,,,
9,Vertex,VERX,Technology,2020-07-29,21.2,$19.00,$23.93,$25.93,36.47%,S/O,Confirmed,IPO Scoop,,,,,,,,,
10,Forest Road Acquisition Corp.,FRX'U,,2020-11-25,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$261,000,000"
11,"KINS Technology Group, Inc.",KINZU,,2020-11-25,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$200,000,000"
12,"LIXTE BIOTECHNOLOGY HOLDINGS, INC.",LIXT,,2020-11-25,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$5,700,000"
13,Spartan Acquisition Corp. II,SPRQU,,2020-11-25,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$300,000,000"
14,10X Capital Venture Acquisition Corp,VCVCU,,2020-11-24,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$175,000,000"
